FIPS,SES,pm25
5099,Q5,5.88217181359665
5103,Q5,5.87973316184984
5107,Q5,6.94514250169919
5111,Q5,7.09940446376792
5115,Q4,6.11714947313623
5117,Q3,6.78137546459964
5119,Q5,6.90720881445443
5123,Q5,7.05710119418647
5125,Q2,6.66083780236106
5127,Q5,5.57065585144562
5131,Q4,6.28867605288544
5139,Q5,6.11629880743466
5143,Q4,6.09365263484575
5145,Q3,6.56046022587067
5147,Q5,6.81236176416323
6001,Q3,5.08846575806355
6003,Q1,2.69048481442156
6005,Q1,3.91834791801083
6007,Q4,3.86965088664881
6009,Q1,3.67616648744982
6013,Q2,4.93964627879781
6015,Q5,2.62277304434589
6017,Q1,3.72862839945085
6019,Q5,4.16545027842802
6021,Q4,3.79125811201272
6023,Q4,2.60107255576869
6025,Q5,4.20481638464091
6029,Q5,3.8406458002544
6031,Q5,4.18615021401358
6033,Q4,3.02190668180155
6035,Q3,2.81761396851951
6037,Q5,5.48893104685529
6039,Q5,3.83297245185378
6041,Q1,4.03078182197043
6045,Q4,2.73898897532727
6047,Q5,4.16839779202279
6049,Q4,2.4442505975823
6053,Q4,3.70860218248584
6055,Q2,3.93908007605822
6057,Q1,3.70682236011725
6059,Q2,5.34185565540498
6061,Q1,4.52111153786573
6063,Q2,2.83958304026526
6065,Q4,4.60913716658313
6067,Q4,5.17688106469454
6069,Q3,4.05186403357439
6071,Q4,5.0030467203735
6073,Q3,5.02964930472629
6075,Q2,4.75271942803337
6077,Q5,4.81468883200787
6079,Q2,3.4787957076469
6081,Q1,4.73254564244476
6083,Q3,3.40802396430664
6085,Q2,4.51981575813682
6087,Q3,4.26378821250599
6089,Q4,3.31071799856796
6093,Q4,2.48670291742619
6095,Q3,4.53324531408295
6097,Q2,3.51027153841859
6099,Q5,4.69452737041901
6101,Q4,4.68154810236442
6103,Q5,3.54290427561274
6107,Q5,3.88870561511044
6109,Q2,3.29139265743509
6111,Q2,3.8128035028156
6113,Q3,4.71170423194121
6115,Q5,4.51049436209353
8005,Q3,4.24298270982448
8013,Q2,3.17415833982272
